Unnamed: 0,Name,Age,Hometown,ElimWeek,Season,Region
314,Kat Hurd,29.0,"Iowa City, Iowa",6.0,18,4
315,Cassandra Ferguson,22.0,"Shelby Charter Township, Michigan",6.0,18,4
316,Alli Restko,26.0,"Orland Park, Illinois",5.0,18,4
317,Danielle Ronco,25.0,"Litchfield, Illinois",5.0,18,4
318,Kelly Travis,27.0,"Conyers, Georgia",5.0,18,2
319,Elise Mosca,27.0,"Forty Fort, Pennsylvania",4.0,18,3
320,Lauren Solomon,26.0,"Austin, Texas",4.0,18,2
321,Christy Hansen,24.0,"Aurora, Illinois",3.0,18,4
322,"Lucinda ""Lucy"" Aragon",25.0,"Santa Barbara, California",3.0,18,1
323,Amy Long,27.0,"Clermont, Florida",2.0,18,2
324,Chantel Forrest,27.0,"Miami, Florida",2.0,18,2
325,Victoria Lima,24.0,"Porto Alegre, Brazil",2.0,18,4
326,Alexis Morgado,24.0,"Tampa, Florida",1.0,18,2
327,Amy Jokinen,31.0,"Apopka, Florida",1.0,18,2
328,Ashley Poe,25.0,"Roanoke, Texas",1.0,18,2
329,Christine Llano,23.0,"Miami, Florida",1.0,18,2
330,Kylie Lewis,23.0,"Rockford, Illinois",1.0,18,4
331,Lacy Faddoul,25.0,"Antelope Acres, California",1.0,18,1
332,Lauren Higginson,25.0,"Edmond, Oklahoma",1.0,18,4
333,Maggie Gantt,25.0,"Wagener, South Carolina",1.0,18,2
334,Valerie Eredia,26.0,"Sutter, California",1.0,18,1
335,Whitney Bischoff,29.0,"Louisville, Kentucky",11.0,19,2
336,Becca Tilley,25.0,"Shreveport, Louisiana",10.0,19,2
337,Kaitlyn Bristowe,29.0,"Leduc, Alberta",9.0,19,4
338,Jade Roper,28.0,"Gering, Nebraska",8.0,19,4
339,Carly Waddell,29.0,"Arlington, Texas",7.0,19,2
340,Britt Nilsson,27.0,"Wolcott Mills, Michigan",7.0,19,4
341,Megan Bell,24.0,"Nashville, Tennessee",6.0,19,2
342,Kelsey Poe,28.0,"Hudsonville, Michigan",6.0,19,4
343,Ashley Iaconetti,26.0,"Great Falls, Virginia",6.0,19,2
344,Mackenzie Deonigi,21.0,"Maple Valley, Washington",5.0,19,1
345,Samantha Steffen,27.0,"Indianapolis, Indiana",5.0,19,4
346,Ashley Salter,24.0,"Vinings, Georgia",4.0,19,2
347,Juelia Kinney,30.0,"Beaverton, Oregon",4.0,19,1
348,Nikki Delventhal,26.0,"Hasbrouck Heights, New Jersey",4.0,19,3
349,Jillian Anderson,25.0,"Howland, Ohio",4.0,19,4
350,Amber James,29.0,"Kankakee, Illinois",3.0,19,4
351,Tracy Darakis,29.0,"Wellington, Florida",3.0,19,2
352,Trina Scherenberg,33.0,"Algonquin, Illinois",3.0,19,4
353,Alissa Giambrone,24.0,"Hamilton, New Jersey",2.0,19,3
354,Jordan Branch,24.0,"Windsor, Colorado",2.0,19,4
355,Kimberly Sherbach,28.0,"Wantagh, New York",2.0,19,3
356,Tandra Steiner,30.0,"Sandy, Utah",2.0,19,4
357,Tara Eddings,26.0,"Fort Lauderdale, Florida",2.0,19,2
358,Amanda Goerlitz,24.0,"Lake in the Hills, Illinois",1.0,19,4
359,Bo Stanley,25.0,"Carpinteria, California",1.0,19,1
360,Brittany Fetkin,26.0,"Temecula, California",1.0,19,1
361,Kara Wilson,25.0,"Brownsville, Kentucky",1.0,19,2
362,Michelle Davis,25.0,"Provo, Utah",1.0,19,4
363,Nicole Meacham,31.0,"Scottsdale, Arizona",1.0,19,4
364,Reegan Cornwell,28.0,"Manhattan Beach, California",1.0,19,1
365,Lauren Bushnell,25.0,"West Linn, Oregon",11.0,20,1
366,"Joelle ""JoJo"" Fletcher",24.0,"Dallas, Texas",10.0,20,2
367,Caila Quinn,24.0,"Hudson, Ohio",9.0,20,4
368,Amanda Stanton,25.0,"Rancho Santa Margarita, California",8.0,20,1
369,Becca Tilley,26.0,"Shreveport, Louisiana",7.0,20,2
370,Emily Ferguson,23.0,"Las Vegas, Nevada",7.0,20,4
371,Lauren Himle,25.0,"Dexter, Michigan",6.0,20,4
372,Olivia Caridi,23.0,"Bristol, Virginia",6.0,20,2
373,Leah Block,25.0,"Greenwood Village, Colorado",6.0,20,4
374,Jennifer Saviano,25.0,"Lauderdale Lakes, Florida",5.0,20,2
375,Jubilee Sharpe,24.0,"Fort Lauderdale, Florida",5.0,20,2
376,Amber James,30.0,"Kankakee, Illinois",4.0,20,4
377,Rachel Tchen,23.0,"Little Rock, Arkansas",4.0,20,2
378,Haley Ferguson,23.0,"Las Vegas, Nevada",4.0,20,4
379,Jami Letain,23.0,"St. Albert, Alberta",3.0,20,4
380,Shushanna Mkrtychyan,27.0,"Salt Lake City, Utah",3.0,20,4
381,Lace Morris,25.0,"Denver, Colorado",3.0,20,4
382,"Amanda ""Mandi"" Kremer",28.0,"Portland, Oregon",2.0,20,1
383,"Jacqueline ""Jackie"" Dion",23.0,"Newport Beach, California",2.0,20,1
384,Samantha Passmore,26.0,"New Smyrna Beach, Florida",2.0,20,2
385,"Lauren ""LB"" Barr",23.0,"Stillwater, Oklahoma",2.0,20,4
386,Breanne Rice,30.0,"Seattle, Washington",1.0,20,1
387,"Isabel ""Izzy"" Goodkind",24.0,"Branford, Connecticut",1.0,20,3
388,Jessica Moser,23.0,"Boca Raton, Florida",1.0,20,2
389,Laura Esselman,24.0,"Louisville, Kentucky",1.0,20,2
390,Lauren Russell,26.0,"Houston, Texas",1.0,20,2
391,Maegan Miller,30.0,"Visalia, California",1.0,20,1
392,Tiara Soleim,27.0,"Redmond, Washington",1.0,20,1
393,Alexis,23.0,"Secaucus, NJ",5.0,21,4
394,Angela,26.0,"Greenville, SC",1.0,21,4
395,Astrid,26.0,"Tampa, FL",4.0,21,4
396,Briana,28.0,"Salt Lake City, UT",1.0,21,4
397,Brittany,26.0,"Santa Monica, CA",3.0,21,4
398,Christen,25.0,"Tulsa, OK",3.0,21,4
399,Corinne,24.0,"Miami, FL",8.0,21,4
400,Danielle L.,27.0,"Los Angeles, CA",6.0,21,4
401,Danielle M.,31.0,"Nashville, TN",7.0,21,4
402,Dominique,25.0,"Los Angeles, CA",3.0,21,4
403,Liz,29.0,"Las Vegas, NV",2.0,21,4
404,Elizabeth,24.0,"Dallas, TX",2.0,21,4
405,Hailey,23.0,"Vancouver, British Columbia, Canada",2.0,21,4
406,Ida Marie,23.0,"Harlingen, TX",1.0,21,4
407,Jaimi,28.0,"New Orleans, LA",5.0,21,4
408,Jasmine B.,25.0,"Tacoma, WA",1.0,21,4
